Blast No.,Date of Blast,Location of Blast,Total Charge,Max Charge Delay,Station,Distance,PPV,Freq,Airblast(dbl),Flyrock,Hole Dia,Hole Depth,No. Of Holes,Avg Burden,Avg Spacing,Avg Stem Length,Avg Charge Hole,Ton Recover,Powder Factor
MAD15201955555,2019-01-03, Pit 1 Road side East (RE) and RL390 TO RL380,1400.0,70.0,Highway Bridge,225.0,1.14,21.0,120.0,10.0,115.0,12.0,20.0,2.5,3.0,3.0,70.0,0.0,0.0
MAD17201961133,2019-01-07, Pit 1 Road side East (RE) and RL390 TO RL380,474.98,15.0,Highway Bridge,300.0,2.54,57.0,117.0,20.0,115.0,4.0,34.0,2.5,3.0,2.0,13.97,0.0,0.0
MAD110201944018,2019-01-09, Pit 1 Road side East (RE) and RL390 TO RL380,1049.92,65.0,Mylkal,360.0,2.16,17.0,119.0,10.0,115.0,12.0,16.0,2.5,3.0,3.0,65.62,0.0,0.0
MAD115201945154,2019-01-14, Pit 1 Road side East (RE) and RL390 TO RL380,1174.88,74.0,Highway Bridge,175.0,3.18,39.0,131.0,15.0,115.0,12.0,16.0,2.5,3.0,3.0,73.43,0.0,0.0
MAD118201934725,2019-01-17, Pit 2 Road side West (RW) and RL390 TO RL380,675.0,34.0,HighwayBridge,275.0,1.08,18.0,116.0,10.0,115.0,6.0,20.0,2.5,3.5,2.0,33.75,0.0,0.0
MAD123201960941,2019-01-22, Pit 1 Road side East (RE) and RL385,1574.79,72.0,Highway Bridge,325.0,1.4,21.0,119.0,20.0,115.0,12.0,21.0,2.5,3.0,3.0,74.99,0.0,0.0
MAD126201951049,2019-01-25, Pit 1 Road side East (RE) and RL370 to RL360,400.29,13.0,Myl kal,360.0,1.21,34.0,112.0,10.0,115.0,4.0,33.0,2.0,3.0,2.0,12.13,0.0,0.0
MAD26201942140,2019-01-31, Pit 2 Road side West (RW) and RL390 TO RL380,549.89,50.0,Gandhi Nagar,600.0,1.08,20.0,100.0,20.0,115.0,10.0,11.0,2.5,3.5,3.0,49.99,0.0,0.0
MAD27201961544,2019-02-05, Pit 1 Road side East (RE) and RL385,939.96,68.0,Highway Bridge,250.0,2.1,51.0,114.0,10.0,115.0,11.0,14.0,2.5,3.5,3.0,67.14,0.0,0.0
MAD29201935258,2019-02-09, Pit 1 Road side East (RE) and RL380 to RL370,799.82,57.0,Mylkal,355.0,1.46,39.0,116.0,10.0,115.0,10.0,14.0,2.5,3.5,3.0,57.13,0.0,0.0
MAD219201945803,2019-02-18, Pit 1 Road side East (RE) and RL380 to RL370,794.31,0.0,Myl kal,350.0,1.51,0.0,121.0,15.0,115.0,6.0,33.0,2.5,3.0,2.5,24.07,0.0,0.0
MAD219201945803,2019-02-18, Pit 1 Road side East (RE) and RL380 to RL370,794.31,0.0,Myl kal,350.0,1.59,28.0,121.0,15.0,115.0,6.0,33.0,2.5,3.0,2.5,24.07,0.0,0.0
MAD222201952153,2019-02-21, Pit 2 Road side West (RW) and RL 370 TO RL 380,2074.68,61.0,High way Bridge,250.0,2.86,37.0,114.0,10.0,115.0,10.0,34.0,2.5,3.0,3.0,61.02,0.0,0.0
MAD2252019114334,2019-02-23, Pit 2 Road side West (RW) and RL390 TO RL380,1774.64,63.0,Gandhi Nagar,650.0,1.91,15.0,100.0,15.0,115.0,10.0,28.0,2.5,3.0,3.0,63.38,0.0,0.0
MAD37201960916,2019-03-06, Pit 1 Road side East (RE) and RL 368 TO RL 356,632.72,80.0,Mylkal,325.0,2.98,16.0,109.0,10.0,115.0,12.0,8.0,2.5,3.0,3.0,79.09,0.0,0.0
MAD38201943522,2019-03-08, Pit 1 Road side East (RE) and RL 368 TO RL 356,1516.2,49.0,Mylkal,335.0,2.73,64.0,119.0,15.0,115.0,8.0,30.0,2.5,3.0,3.0,50.54,0.0,0.0
MAD39201930939,2019-03-09, Pit 2 Road side West (RW) and RL 360 TO RL350,825.0,69.0,Gandhi Nagar,625.0,1.14,12.0,100.0,0.0,100.0,12.0,12.0,2.5,3.0,3.0,68.75,0.0,0.0
MAD313201954457,2019-03-13, Pit 2 Road side West (RW) and RL370 TO RL360,383.4,14.0,Highway Bridge,325.0,1.08,34.0,116.0,30.0,100.0,4.0,30.0,2.5,3.0,2.0,12.78,0.0,0.0
MAD318201944409,2019-03-18, Pit 1 Road side East (RE) and RL356 TO RL344,849.78,47.22,Mailkal,350.0,1.97,57.0,110.0,0.0,115.0,8.0,18.0,2.5,3.0,2.5,47.21,2808.0,3.3
MAD320201994838,2019-03-20, Pit 2 Road side West (RW) and RL370 TO RL360,699.93,78.0,Gandhi Nagar,650.0,1.27,1.33,100.0,15.0,115.0,12.0,9.0,2.5,3.0,3.0,77.77,0.0,0.0
MAD321201970324,2019-03-21, Pit 1 Road side East (RE) and RL380 to RL370,724.5,16.0,Mylkal,370.0,1.08,28.0,112.0,15.0,115.0,4.0,45.0,2.5,3.0,2.0,16.1,0.0,0.0
MAD330201925904,2019-03-29, Pit 1 Road side East (RE) and RL 380 TO RL 368,319.68,13.0,Myl kal,360.0,1.14,27.0,112.0,15.0,115.0,4.0,24.0,2.5,3.0,2.0,13.32,0.0,0.0
MAD42201961231,2019-03-30, Pit 1 Road side East (RE) and RL390 TO RL380,575.1,13.0,Myl kal,345.0,1.52,30.0,112.0,20.0,115.0,4.0,45.0,2.5,3.0,2.0,12.78,0.0,0.0
MAD44201944843,2019-04-04, Pit 1 Road side East (RE) and RL 368 TO RL 356,299.77,10.0,Highway Bridge,200.0,3.56,43.0,121.0,20.0,115.0,3.5,31.0,2.2,3.0,2.0,9.67,0.0,0.0
MAD49201955534,2019-04-08, Pit 2 Road side West (RW) and RL370 TO RL360,350.0,18.0,Highway Bridge,175.0,1.78,51.0,115.6,10.0,115.0,4.0,20.0,2.5,3.0,2.0,17.5,0.0,0.0
MAD412201955627,2019-04-11, Pit 2 Road side West (RW) and RL370 TO RL360,399.96,67.0,Gandhi Nagar,600.0,1.33,11.0,100.0,15.0,115.0,12.0,6.0,2.5,3.5,3.0,66.66,0.0,0.0
MAD413201954200,2019-04-12, Pit 2 Road side West (RW) and RL370 TO RL360,674.8,49.0,Highway Bridge,275.0,1.4,57.0,112.0,10.0,115.0,8.0,14.0,2.5,3.0,3.0,48.2,0.0,0.0
MAD414201945830,2019-04-13, Pit 2 Road side West (RW) and RL370 TO RL360,1109.16,85.0,Highway Bridge,200.0,3.18,64.0,112.0,10.0,115.0,12.0,13.0,2.5,3.5,3.0,85.32,0.0,0.0
